题目名,Question,Answer,Student_1,Student_2,Student_3,Student_4,Student_5,Student_6,Student_7,Student_8,Student_9,Student_10,Label_level_1,Label_level_2
20250913-0821-097b-0e63-d8dfb5016574_%e4%b8%80.17,"17.（本题15分）$\vec{a}=(2,0)$，$\vec{b}=(1,2)$，$\vec{c}=(-3,2)$

（1）若$(k\vec{a}+\vec{b})\parallel\vec{c}$，求$k$值；

（2）若$\overrightarrow{AB}=2\vec{a}+3\vec{b}$，$\overrightarrow{BC}=\vec{a}+n\vec{b}$且$A$、$B$、$C$三点一线，求$n$的值；

（3）若$(t\vec{a}-\vec{b})$与$\vec{c}$夹角为钝角，求$t$的取值范围。","17.【详解】（1）因为$\vec{a}=(2,0)$，$\vec{b}=(1,2)$，所以$k\vec{a}+\vec{b}=(2k+1,2)$，
又$\vec{c}=(-3,2)$，且$(k\vec{a}+\vec{b})\parallel\vec{c}$，所以$(2k+1)\times 2=(-3)\times 2$，解得$k=-2$；

（2）因为$\vec{a}=(2,0)$，$\vec{b}=(1,2)$，所以$\overrightarrow{AB}=2\vec{a}+3\vec{b}=(7,6)$，$\overrightarrow{BC}=\vec{a}+n\vec{b}=(2+n,2n)$，
又$A$、$B$、$C$三点共线，所以$\overrightarrow{AB}\parallel\overrightarrow{BC}$，所以$(2+n)\times 6=7\times 2n$，解得$n=\frac{3}{2}$；

（3）$t\vec{a}-\vec{b}=(2t-1,-2)$，因为夹角为钝角，$(t\vec{a}-\vec{b})\cdot\vec{c}<0$且$(t\vec{a}-\vec{b})$与$\vec{c}$不共线，$(t\vec{a}-\vec{b})\cdot\vec{c}=-6t+3-4<0$，解得
$t>-\frac{1}{6}$，

$(t\vec{a}-\vec{b})$与$\vec{c}$不共线，$2(2t-1)\neq 6$，解得$t\neq 2$，综上$t\in\left(-\frac{1}{6},2\right)\cup(2,+\infty)$",,,,,,,,,,,几何与代数,平面向量
20250225-1109-2036-d5a8-48cb2a607426_17,"17.（15分）
已知 $f(x) = x\ln(x-1) - ax\ (a\in \mathbb{R})$。
（1）若$f(x)$在定义域上单调递增，求$a$的取值范围；
（2）若$y=f(x)$有极大值$m$，求证：$m<-4$。","17.【解析】（1）因为 $f'(x)=\ln(x-1)+\frac{x}{x-1}-a$，
$$f''(x)=\frac{1}{x-1}-\frac{1}{(x-1)^2}=\frac{x-2}{(x-1)^2},$$
……………………………………2分

因为$1<x<2$时，$f''(x)<0$，$f'(x)$单调递减；

$x>2$时，$f''(x)>0$，$f'(x)$单调递增，

所以 $f'(x)_{\min}=f'(2)=2-a$，
……………………………………4分

因为$f(x)$在定义域上单调递增，所以$f'(x)\geq0$恒成立，
所以$2-a\geq0$，即$a\leq2$.
……………………………………6分

（2）由（1）可知，当$y=f(x)-m$有两个不同的零点时，$a>2$

此时 $f'(x)_{\min}=f'(2)=2-a<0$，

且$x\to1$时$f'(x)\to+\infty$，$x\to+\infty$时$f'(x)\to+\infty$，

所以$f'(x)=0$，则$x=x_1,x=x_2(1<x_1<2<x_2)$，其中$\ln(x_i-1)+\frac{x_i}{x_i-1}=a(i=1,2)$，

因为$1<x<x_1$时，$f'(x)>0$，$f(x)$单调递增；

$x_1<x<x_2$时，$f'(x)<0$，$f(x)$单调递减；

$x>x_2$时，$f'(x)>0$，$f(x)$单调递增，

所以$x=x_1$为$f(x)$的极大值点，则$m=f(x_1)$.
……………………………………10分

且 $f(x_1)=x_1[\ln(x_1-1)-a]=x_1[\ln(x_1-1)-\ln(x_1-1)-\frac{x_1}{x_1-1}]=-\frac{x_1^2}{x_1-1}$,

设$g(x)=-\frac{x^2}{x-1}(1<x<2)$，则$g'(x)=-\frac{x(x-2)}{x-1}>0$，

所以$g(x)$在$(1,2)$单调递增，
……………………………………15分

所以$g(x)<g(2)=-4$，即$m<-4$.",,,,,,,,,,,函数,一元函数导数及其应用
20250921-1152-3270-2243-37534b172423_17,"已知数列$\{a_n\}$满足$a_1=2$，且$a_{n+1}=2a_n+2^{n+1}(n\in\mathbf{N}^*)$。

（1）求数列$\{a_n\}$的通项公式；

（2）求数列$\{a_n\}$的前$n$项和$S_n$。","（1）$a_{n}=n\cdot 2^{n}$

（2）$S_{n}=(n-1)\cdot 2^{n+1}+2$

【解析】（1）借助构造法构造等差数列后结合等差数列性质即可得；由$a_{n+1}=2a_{n}+2^{n+1}$，
则$\frac{a_{n+1}}{2^{n+1}}=\frac{2a_{n}+2^{n+1}}{2^{n+1}}=\frac{a_{n}}{2^{n}}+1$，
则$\frac{a_{n+1}}{2^{n+1}}-\frac{a_{n}}{2^{n}}=1$，又$\frac{a_{1}}{2^{1}}=\frac{2}{2}=1$，
故数列$\left\{\frac{a_{n}}{2^{n}}\right\}$是以1为首项，1为公差的等差数列，
故$\frac{a_{n}}{2^{n}}=n$，则$a_{n}=n\cdot 2^{n}$；

（2）借助错位相减法计算即可得.
$$S_{n}=a_{1}+a_{2}+\cdots+a_{n}=1\times 2+2\times 2^{2}+3\times 2^{3}+\cdots+n\times 2^{n}$$
则$2S_{n}=1\times 2^{2}+2\times 2^{3}+3\times 2^{4}+\cdots+n\times 2^{n+1}$，
则
$$
\begin{align*}
S_{n}-2S_{n}=-S_{n}&=2+2^{2}+2^{3}+\cdots+2^{n}-n\times 2^{n+1}\\
&=\frac{2(1-2^{n})}{1-2}-n\times 2^{n+1}=2^{n+1}-2-n\times 2^{n+1}=(1-n)2^{n+1}-2,
\end{align*}
$$
则$S_{n}=(n-1)\cdot 2^{n+1}+2$.",,,,,,,,,,,函数,数列
20250828-0742-3331-8c0e-60f42c401241_15,"15. （13分）已知函数$f(x) = x^2 - 10x + 3f'(1)\ln x$．

（1）求函数$f(x)$在点$(1,f(1))$处的切线方程；

（2）求$f(x)$的单调区间和极值．","15. 答案：（1）$y=4x-13$；

（2）递增区间为$(0,2),(3,+\infty)$，递减区间为$(2,3)$，极大值$-16+12\ln 2$，极小值$-21+12\ln 3$。

解析：（1）函数$f(x)=x^2-10x+3f'(1)\ln x$，求导得$f'(x)=2x-10+\frac{3f'(1)}{x}$，
则$f'(1)=-8+3f'(1)$，解得$f'(1)=4$，于是$f(x)=x^2-10x+12\ln x$，$f(1)=-9$，
所以所求切线方程为：$y+9=4(x-1)$，即$y=4x-13$。

（2）由（1）知，函数$f(x)=x^2-10x+12\ln x$，定义域为$(0,+\infty)$，
求导得$f'(x)=2x-10+\frac{12}{x}=\frac{2(x-2)(x-3)}{x}$，
当$0<x<2$或$x>3$时，$f'(x)>0$，当$2<x<3$时，$f'(x)<0$，
因此函数$f(x)$在$(0,2),(3,+\infty)$上单调递增，在$(2,3)$上单调递减，
当$x=2$时，$f(x)$取得极大值$f(2)=-16+12\ln 2$，
当$x=3$时，$f(x)$取得极小值$f(3)=-21+12\ln 3$，
所以函数$f(x)$的递增区间为$(0,2),(3,+\infty)$，递减区间为$(2,3)$，
极大值$-16+12\ln 2$，极小值$-21+12\ln 3$。",,,,,,,,,,,函数,一元函数导数及其应用
20250906-0057-2468-ab37-0e47ba776166_%e4%ba%8c.16,"16. 已知函数 $f(x)=x^3-6x$.

(1)求曲线 $y=f(x)$ 在点 $(2,f(2))$ 处的切线方程；

(2)当 $x\in(0,+\infty)$ 时，求证：$f(x)\geq -3x-2$.","16. (1) $6x - y - 16 = 0$

(2) 证明见解析

【分析】（1）利用导数的几何意义即可求解；
（2）将问题转化为$g(x)=x^3-3x+2\ge 0$，然后利用导数求出$g(x)$的最小值即可证明.

【详解】（1）由题$f(2)=-4$，$f'(x)=3x^2-6$，所以切线斜率为$k=f'(2)=6$.
因为切点为$(2,-4)$，
所以切线方程为$y+4=6(x-2)$，即$6x - y - 16 = 0$.

（2）证明：令$g(x)=f(x)+3x+2=x^3-3x+2,x>0$，则$g'(x)=3x^2-3=3(x-1)(x+1)$，
当$x\in(0,1)$时$g'(x)<0$，所以$g(x)$在$(0,1)$上单调递减，
当$x\in(1,+\infty)$时$g'(x)>0$，所以$g(x)$在$(1,+\infty)$上单调递增，
所以当$x=1$时，$g(x)$有最小值为$g(1)=0$，
所以当$x\in(0,+\infty)$时，$g(x)\ge 0$，即当$x\in(0,+\infty)$时，$f(x)\ge -3x-2$.",,,,,,,,,,,函数,一元函数导数及其应用
20250925-0232-42f2-b523-a5d15b420018_17,"17.（本小题满分15分）已知数列$\{a_n\}$的前$n$项和为$S_n$，且$2,2n,S_n$成等比数列.

(1)求$\{a_n\}$的通项公式；

(2)若$b_n=\frac{1}{a_n a_{n+1}}$，求数列$\{b_n\}$的前$n$项和$T_n$.","17. 【详解】(1) $a_n=4n-2$
(2) $T_n=\dfrac{n}{4(2n+1)}$

【详解】（1）由$2,2n,S_n$成等比数列，得$S_n=2n^2$，所以$a_1=2$。

当$n\geq2$时，$a_n=S_n-S_{n-1}=4n-2$，而$a_1=2$满足上式，

所以$\{a_n\}$的通项公式是$a_n=4n-2$。

（2）由（1）知$a_n=4n-2,a_{n+1}=4n+2$，

则$b_n=\dfrac{1}{a_n a_{n+1}}=\dfrac{1}{(4n-2)(4n+2)}=\dfrac{1}{8}\left(\dfrac{1}{2n-1}-\dfrac{1}{2n+1}\right)$

则$T_n=\dfrac{1}{8}\left[\left(1-\dfrac{1}{3}\right)+\left(\dfrac{1}{3}-\dfrac{1}{5}\right)+\left(\dfrac{1}{5}-\dfrac{1}{7}\right)+\dots+\left(\dfrac{1}{2n-1}-\dfrac{1}{2n+1}\right)\right]=\dfrac{n}{4(2n+1)}$。",,,,,,,,,,,函数,数列
20240530-0534-44f4-2dcf-0bc7d2998193_16,,"16. 解析:(1)由已知及正弦定理得 $a=\sqrt{6}b$,(2分)

由余弦定理得 $\cos B=\frac{a^2+c^2-b^2}{2ac}=\frac{6b^2+4b^2-b^2}{2\sqrt{6}b\cdot 2b}=\frac{3\sqrt{6}}{8}$.(4分)

(2)如图,设$\angle BCD=\theta$,则 $A=2\theta$,$\angle ACB=90^\circ+\theta$,$B=90^\circ-3\theta$,(6分)

由正弦定理得 $\frac{b}{\sin(90^\circ-3\theta)}=\frac{2b}{\sin(90^\circ+\theta)}$,化简解得 $\cos^2\theta=\frac{7}{8}$,(9分)

$\therefore \cos2\theta=2\cos^2\theta-1=\frac{3}{4}$,$\sin2\theta=\frac{\sqrt{7}}{4}$,

$\therefore \frac{a}{\sin A}=4=\frac{c}{\cos\theta}$,解得 $c=2b=\sqrt{14}$,(13分)

$\therefore \triangle ABC$的面积$S=\frac{1}{2}ab\sin C=\frac{1}{2}\times\sqrt{7}\times\frac{\sqrt{14}}{2}\times\frac{\sqrt{14}}{4}=\frac{7\sqrt{7}}{8}$.(15分)",,,,,,,,,,,几何与代数,解三角形
20250924-0513-024d-6953-9cddf7171325_17,"17.（1）已知$f(\sqrt{x}+1)=x+2\sqrt{x}$，求$f(x)$；

（2）已知$f(x)$为二次函数，且$f(x+1)+f(x-1)=2x^2-4x$，求$f(x)$；

（3）已知函数$f(x)$对于任意的$x$都有$2f\left(\dfrac{1}{x}\right)+f(x)=x\ (x\neq 0)$，求$f(x)$。","17.【详解】（1）方法一 （换元法）：
令$t=\sqrt{x}+1$，则$x=(t-1)^2$，$t\geq 1$，
所以$f(t)=(t-1)^2+2(t-1)=t^2-1(t\geq 1)$，
所以$f(x)$的解析式为$f(x)=x^2-1(x\geq 1)$。

方法二 （配凑法）：
$$f(\sqrt{x}+1)=x+2\sqrt{x}=x+2\sqrt{x}+1-1=(\sqrt{x}+1)^2-1.$$
因为$\sqrt{x}+1\geq 1$，
所以$f(x)$的解析式为$f(x)=x^2-1(x\geq 1)$。

（2）设$f(x)=ax^2+bx+c(a\neq 0)$，
则
$$
\begin{aligned}
&f(x+1)+f(x-1)\\
=&a(x+1)^2+b(x+1)+c+a(x-1)^2+b(x-1)+c\\
=&2ax^2+2bx+2a+2c=2x^2-4x,
\end{aligned}
$$
所以
$$\begin{cases}2a=2\\2b=-4\\2a+2c=0\end{cases},\quad \text{解得}\begin{cases}a=1\\b=-2\\c=-1\end{cases},$$
所以$f(x)=x^2-2x-1$。

（3）$f(x)+2f\left(\frac{1}{x}\right)=x$，
令$x=\frac{1}{x}$，得$f\left(\frac{1}{x}\right)+2f(x)=\frac{1}{x}$，
于是得到关于$f(x)$与$f\left(\frac{1}{x}\right)$的方程组
$$\begin{cases}f(x)+2f\left(\frac{1}{x}\right)=x\\f\left(\frac{1}{x}\right)+2f(x)=\frac{1}{x}\end{cases},$$
解得$f(x)=\frac{2}{3x}-\frac{x}{3}(x\neq 0)$。",,,,,,,,,,,函数,函数概念与性质
20250917-0850-557e-a7b5-76c773514305_15,"15. 已知 $f(x)=f'(1)x^2 - x + 2\ln x$
（1）求 $f'(1)$ 并写出 $f(x)$ 的表达式；

（2）记 $g(x)=\frac{1}{2}\bigl(f(x)+x^2+x\bigr)+a$，若曲线 $y=\mathrm{e}^x+2x$ 在点 $(0,1)$ 处的切线也是曲线 $g(x)$ 的切线，求 $a$ 的值。","15. 【小问1详解】
由 $f(x)=f'(1)x^2 - x + 2\ln x$，求导可得 $f'(x)=2f'(1)x - 1 + \frac{2}{x}$，
由 $f'(1)=2f'(1)-1+2$，解得 $f'(1)=-1$，则 $f(x)=-x^2 - x + 2\ln x$。

【小问2详解】
$g(x)=\frac{1}{2}(f(x)+x^2+x)+a=\ln x + a$，求导可得 $g'(x)=\frac{1}{x}$，
由 $y=\mathrm{e}^x + 2x$ 得 $y'=\mathrm{e}^x + 2$，故 $y=\mathrm{e}^x + 2x$ 在 $(0,1)$ 处的切线斜率 $k=\mathrm{e}^0 + 2=3$，
所以 $y=\mathrm{e}^x + 2x$ 在 $(0,1)$ 处的切线方程为 $y-1=3(x-0)$，化简可得 $y=3x+1$，
令 $g'(x)=\frac{1}{x}=3$，解得 $x=\frac{1}{3}$，将其代入切线方程 $y=3x+1$ 可得 $y=2$，代入 $g(x)$ 得
$$g\left(\frac{1}{3}\right)=\ln\frac{1}{3}+a,$$
所以得 $\ln\frac{1}{3}+a=2$，解得 $a=2+\ln 3$。",,,,,,,,,,,函数,一元函数导数及其应用
20250225-1206-579f-9e1b-6ca63e934625_17,"17. (15分)

甲参加围棋比赛，采用三局两胜制，若每局比赛甲获胜的概率为$p(0<p<1)$，输的概率为$1-p$，每局比赛的结果是独立的.

(1) 当$p=\frac{2}{3}$时，求甲最终获胜的概率；

(2) 为了增加比赛的趣味性，设置两种积分奖励方案。方案一：最终获胜者得3分，失败者得$-2$分；方案二：最终获胜者得1分，失败者得0分，请讨论选择哪种方案，使得甲获得积分的数学期望更大.",,,,,,,,,,,,概率与统计,随机变量及其分布
