image_id,ast_tree_count,total_ast_node_count,max_ast_depth,frac_expression_count,sup_expression_count,sub_expression_count,sqrt_expression_count,env_expression_count,bigop_expression_count,accent_expression_count,stackrel_expression_count,textcircled_expression_count,distinct_structure_type_count,structure_combination,total_token_count,distinct_token_count,rare10_token_occurrence_count,rare10_expression_count,has_rare10,english_tokens,digit_tokens,greek_tokens,special_symbol_tokens,operator_tokens,grouping_tokens,structural_tokens,CJK_tokens,punctuation_tokens,layout__alignment_tokens,other__unknown_tokens
20230831-0430-37dd-ddff-1ed424056878_05edc809-c2b0-4fb1-ba37-9eedfa9285c9_2分,13,35,2,0,5,5,6,4,0,0,0,0,4,sup+sub+sqrt+env,372,61,1,1,True,48,57,8,36,44,10,125,36,3,5,0
20230831-0430-37dd-ddff-1ed424056878_0dad6d03-9661-49de-8595-bc1d0317609b_5分,14,54,3,6,7,1,6,2,0,0,0,0,5,frac+sup+sub+sqrt+env,542,64,1,1,True,51,104,8,20,67,16,210,58,4,4,0
20230831-0430-37dd-ddff-1ed424056878_2f121b0b-14e2-4e5a-b3b0-d579786526ea_1分,3,7,2,0,0,0,1,1,0,0,0,2,3,sqrt+env+textcircled,66,33,0,0,False,7,10,0,1,7,2,26,11,1,1,0
20230831-0430-37dd-ddff-1ed424056878_454bef8d-bb5c-49ea-b673-f07724079310_5分,24,65,2,2,8,9,7,3,0,0,0,2,6,frac+sup+sub+sqrt+env+textcircled,690,71,1,1,True,99,116,6,62,86,26,216,62,14,3,0
20230831-0430-37dd-ddff-1ed424056878_798201d1-cfc1-4066-abbf-9f8745d71cbe_1分,11,10,2,0,2,0,3,1,0,0,0,0,3,sup+sqrt+env,131,33,0,0,False,18,27,8,5,24,6,35,4,3,1,0
20230831-0430-37dd-ddff-1ed424056878_9c0730e9-96af-4272-824a-01a2a579f994_2分,5,5,1,0,3,0,0,0,0,0,0,0,1,sup,95,40,1,1,True,10,15,9,6,11,2,15,26,1,0,0
20230831-0430-37dd-ddff-1ed424056878_c57336f2-d4dc-43a2-a64c-e3f9d28db2df_5分,15,35,2,2,7,3,5,3,0,0,0,0,5,frac+sup+sub+sqrt+env,413,69,2,2,True,50,68,13,21,49,18,126,60,4,4,0
20230831-0430-37dd-ddff-1ed424056878_f737f28c-6a6c-465e-8560-404817211cd3_5分,6,7,1,0,3,0,1,0,0,0,0,0,2,sup+sqrt,92,26,0,0,False,18,20,5,3,19,2,21,1,3,0,0
20230903-0945-29e6-4d7c-bec327316269_00d3fd10-1351-47ad-8ce4-526a3227e509_9分,24,46,2,11,2,8,6,0,0,0,2,0,5,frac+sup+sub+sqrt+stackrel,632,78,2,2,True,221,47,3,36,67,6,170,73,9,0,0
20230903-0945-29e6-4d7c-bec327316269_37e63f3b-8b72-4124-9dac-728a72b38170_8分,29,19,2,3,2,1,8,0,0,0,1,0,5,frac+sup+sub+sqrt+stackrel,372,66,0,0,False,143,30,2,30,38,6,65,54,4,0,0
